Gintama: The Semi-Final,126,8.48
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,127,8.47
Mo Dao Zu Shi,128,8.47
Nichijou,129,8.46
Owarimonogatari,130,8.46
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,131,8.46
Zoku Owarimonogatari,132,8.46
Josee to Tora to Sakana-tachi,133,8.46
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,134,8.46
Golden Kamuy 3rd Season,135,8.45
Haikyuu!!,136,8.45
Mo Dao Zu Shi: Xian Yun Pian,137,8.45
Saenai Heroine no Sodatekata Fine,138,8.45
Vivy: Fluorite Eye's Song,139,8.45
Wu Liuqi Zhi Xuanwu Guo Pian,140,8.45
Yuu☆Yuu☆Hakusho,141,8.45
Mushishi Zoku Shou: Odoro no Michi,142,8.44
Saiki Kusuo no Ψ-nan 2,143,8.44
Gintama: Yorinuki Gintama-san on Theater 2D,144,8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,145,8.44
Grand Blue,146,8.43
Kono Oto Tomare! Part 2,147,8.43
Koukaku Kidoutai: Stand Alone Complex,148,8.43
Mononoke,149,8.43
Saiki Kusuo no Ψ-nan,150,8.43
Yoru ni Kakeru,151,8.43
Major S5,152,8.42
Natsume Yuujinchou Movie: Utsusemi ni Musubu,153,8.41
Paripi Koumei,154,8.41
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,155,8.41
Shingeki no Kyojin: Kuinaki Sentaku,156,8.41
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,157,8.41
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),158,8.41
Kaze ga Tsuyoku Fuiteiru,159,8.41
Chihayafuru 2,160,8.40
Cross Game,161,8.40
Gintama°: Aizome Kaori-hen,162,8.40
Houseki no Kuni (TV),163,8.40
Hunter x Hunter,164,8.40
JoJo no Kimyou na Bouken Part 6: Stone Ocean,165,8.40
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,166,8.40
Natsume Yuujinchou Roku Specials,167,8.40
Non Non Biyori Nonstop,168,8.40
